Name,About,Experience
Richard Pacheco,"Experienced Cyber Technician committed to maintaining cutting edge technical skills and up-to-date industry knowledge. Provide core services by designing, configuring, installing, and managing data services at the operating system and server application level.","*Developed virtual labs to help teach cyber operators how adversaries exploit critical systems and how to mitigate the exploitation of these critical systems.
*Created step by step guides to teach operators how to better understand the adversary and ways to mitigate the threat they pose to the Department of Defense and National Security.
*Evaluated documentation and videos that will be used by all cyberspace operators across the Department of Defense.
*Engineered a virtual cyber environment to simulate a real world scenario that cyber operators can utilize their functional knowledge of known vulnerabilities, increasing the operator’s toolsets and their effectiveness when on mission.
…
see more"
Jeff McDaniels,"Over 20 years of senior management experience in all aspects of aerospace business and proven operational management while directing organizations ranging in size from 15 to 3,000. In-depth functional breadth including strategic planning; program management; operations; and DoD, government, business, and international engagements. An exceptional manager, strong leader and team builder with superb organizational, people, and communication skills. Senior executive experience includes:

- Business Development
- Strategic Planning
- Program Management
- Pipeline Development and Management
- Operations Management
- Financial Management
- Team Building
- Problem Solving
- Strategic Communication
- Change Management","Leading team supporting Program Management of the F-35 program, DoD’s largest acquisition program. Worked directly with senior Air Force leaders and the Aircrew Crisis Task Force to solve the Secretary of the Air Force and Chief of Staff of the Air Force’s most challenging strategic issue, the rapidly increasing pilot shortage.
- Responsible for performance, cost, schedule, profit, personnel, new business and customer relations.
- Led team of specialists in achieving strategic objectives, while managing budget, resources, and manpower.
- Developed strategic plan and innovative courses of action to change organizational culture and increase retention.
…
see more"
"Mark Villella, PMP, TS SCI","I’m an Air Force veteran with over 29 years military experience. During my career, I was blessed to work with great individuals and teams from all the military departments. I have taken those life-long experiences and lessons with me. I’m not afraid to work outside my comfort zone to gain new perspectives. I have a knack for creating cohesive teams who strive for success. I am committed to the mission and enjoy working in stressful and fast paced environments.

Specialties: Intelligence, Strategic Management, Strategic Leadership, Team Building, Training, Project Management, Problem Solving, Change Management, Motivating Teams, Human Resource Management, Conflict Resolution, Mentoring, Leadership Development, Liaison, Budgeting, Planning, Controlling","Title
Lead Associate
Dates Employed
Jul 2016 – Present
Employment Duration
4 yrs 5 mos
Location
Washington D.C. Metro Area
Title
Associate at Booz Allen Hamilton
Dates Employed
Apr 2012 – Present
Employment Duration
8 yrs 8 mos"
"Ian Clowes, PMP","Lifelong problem solver and experienced team leader able to deliver strategic impact across an organization's operations.
As a national security professional, I have worked on some of the world's most intractable problems including capacity building in Iraq and Afghanistan, and strategy in South and Central Asia. I have also successfully led organizations ranging from over 100 people to small teams of 3-4 in some of the most challenging environments on earth.
Having graduated from Columbia Business School, I am able to leverage my skills to deliver value as a project manager or operations leader to firms in any phase of the growth cycle.",Associate
Mike Tallent,EMPTY,"Principal, PMP"
Colleen Lammers,"Talented, resourceful, and dynamic professional, offering key credentials and strengths in information technology, technical project leadership and coordination, policy development and technical writing. Recognized for effectively and efficiently directing complex projects and authoring direct plans and policies which directly contribute to the goals and objectives. Offers professional logic to analyze critical requirements, present solutions, and generate opportunities. Demonstrates an exceptional background in military and contractor environments; excels during all challenges and provides expert level support. Provides influential leadership to teams and maximizes performance.

• Demonstrates a comprehensive understanding of technical standards, practices, and programs; proven ability to effectively manage programs and processes and author new policies
• Holds an Active Secret Security Clearance; ethically represents an organization and delivers high-level support in cross-functional areas; excels in all environments","Title
Senior Information Assurance Manager
Dates Employed
Dec 2014 – Present
Employment Duration
6 yrs
Provides cyber security and information assurance subject matter expertise to multiple Department of the Navy (DoN) clients. Uses in-depth knowledge of National Institute of Standards and Technology (NIST), Special Publications, DoD and Navy C&A Process, Department of Defense Information Assurance Certification and Accreditation Process (DIACAP), Risk Management Framework (RMF), and Security Technical Implementation Guides (STIGS) to ensure DoN clients meet compliance standards. Provides a consistent level of service ensuring management, operational, and technical controls for securing all applicable information technology systems are in place and followed. Performs Certificate Authority (CA) risk assessment to evaluate systems risk, and provides written risk assessment reports including overall risk analysis reviews and recommendations to the Operation Designated Approval Authority (DAA). Experience in leading teams in the development of engagement objectives and strategies to support the end-to-end C&A/A&A processes for DoN, while addressing complex program risks. Analyze and provides transition plans for DoN enclaves, systems, and applications from DIACAP to the Risk Management Framework (RMF). Responsible for reviewing DoD and DoN guidance, doctrine, and operational directives and ensuring DoN clients comply with all standards. Provides written policy and procedures to DoN Clients ensuring commands fully comply with cyber security and information assurance policies.
…
see more
Title
Lead Information Assurance Specialist
Dates Employed
Jun 2013 – Present
Employment Duration
7 yrs 6 mos
Provide influential leadership, coaching, and mentorship to departmental teams and facilitate new training programs to maximize the potential of personnel; plan workflows and delegate daily assignments. Lead the team in the development of engagement objectives and strategies to support the end-to-end certification and accreditation processes for the United States Fleet Forces Command; addresses complex program risks. Prepare and present weekly C&A reports to communicate high priority programs and packages to leadership.
• Restructured USFF C&A processes through the implementation of an engagement timeline, resulting in a more formal reaccreditation cycle and an increase in forecasting and resource allocation abilities
• Served as a Subject Matter Expert for clients in vulnerability remediation asset management, IATS, eMASS, Security Technical Implementation Guides (STIGs), IA Controls, IA, and training requirements
• Prepared and presented government shutdown C&A afloat and ashore impact statements to key government clients; communicated program impacts and led meetings with clients and management
• Created C&A high-level overview documentation to support the accreditation phase and provided detailed analysis to USFF IAM of direct programs; input, analyzed and mainained the integrity of data
• Effectively responded to command queries regarding C&A processes, Enterprise Mission Assurance Support Service (eMASS) registration, or collaboration events; respond to complex external requests
• Reviewed C&A package submissions to protect and defend against unauthorized access of system and network architecture and technical and non-technical operating features; achieved functionality
• Developed and implemented comprehensive procedures to support C&A workflow processes, process charts, Standard Operating Procedures, checklists, and other documentation; exceeds goals
…
see more
Title
Information Assurance Specialist
Dates Employed
Sep 2011 – Present
Employment Duration
9 yrs 3 mos
Location
Norfolk, Virginia
Provides DoD based IT/IA support and guidance to Fleet Cyber Command (FCC) Office of Compliance and Assessment (OCA); delivers expert level guidance to United States Navy sites scheduled for Command Cyber Readiness (CCRI) and Cyber Security inspections (CSI) to include, but not limited to: HBSS, Windows, UNIX, Network Infrastructure, Physical Security, Program Admin, IA Workforce, and Operational Behavior. Serves as a SME in the management and administration of systems and processes.
• Coordinated IT project support for 23 Cyber Security Inspections. Conducted comprehensive research enabling commands to identify compliancy shortfalls through scope network and asset discovery, identifying potential weakness in the computing environment and provided guidance for commands to meet DISA and DoD readiness requirements
• Facilitates worldwide geogrphacially disperesed telephone conferences with senior management teams providing DISA and DoD compliance guidance in technical governance recommendations, policies and standards establishing a secure, interoperable, Net-Centric Naval Information Management Technology Environment.
• Provided influential leadership, mentorship, and coaching to teams and facilitated effective training programs; planned and coordinated workflow, led performance evaluations, and addressed all issues
• Selected to speak at Information Technology events, including the Society of Women Engineers; educated members on cyber security or the importance of a secure enclave through broad standards
• Worked closely with cross-functional teams to identify CAT I, II, III, and IV findings; provided direction and guidance to ensure successful and timely resolution of all conflicts; established a secure network
• Managed project budgets to ensure proper travel forecasting; monitored budgets and resources, effectively resolved errors, eliminated any unnecessary expenditures and ensured accurate reporting
…
see more
Title
Defense Research System Analyst
Dates Employed
Sep 2010 – Sep 2011
Employment Duration
1 yr 1 mo
Established an Air Combat Command (ACC)/A6 network rigor program to identify potential risks to the Air Force (AF) Network Control Centers (NCC); streamlined security practices and facilitated maintenance or documentation processes to optimize network reliability and maximize overall availability for 13 Air Combat Command (ACC) Communications squadrons.
• Developed a Two Person Integrity (TPI) flowchart which identified critical network maintenance activities that required TPI ensuring all functional, system and user objectives were security maintained throughout the units
• Researched and analyzed base NCC Air Force Instructions (AFIs), Operating Instructions (OIs), policies, standards, and guidelines to create a comprehensive list of critical network tasks that must be accomplished to minimize critical system outages
• Collaborated with ACC Headquarters personnel to pinpoint system emergencies, resulting in the development of 17 incident response plans and recovery procedures following a system/network disruption
• Authored 350 network maintenance checklists and standard operating procedures to provide stability and availability in the Air Force NCC environments; created the concept of operation policies
…
see more"
Derek Jeffries,"A truly dynamic leader with an expertise in facilities/infrastructure who has the talent for developing exceptional, collaborative teams that take ownership of projects and maximize productivity. History of controlling costs, exceeding quality requirements, meeting tight deadlines and finishing projects under budget. Has a career of stellar accomplishments under the most challenging conditions.

Specialties: With a passion for design/construction/maintenance, brings a hands-on background of diverse and varied projects and a philosophy of planning and setting strategy, training his staff, communicating appropriate information and objectives, and enabling the managers to make the necessary decisions.","Provides project management support to the National Park Service (NPS) Denver Service Center for design and construction project development. Oversees a Project Management Office in support of a relatively new NPS initiative to scope and estimate future projects. Organizes and facilitates process and activities to enable partner architect-engineer (A-E) firms to perform on-site facility/infrastructure assessments and develop project scopes and cost estimates. Applies practical knowledge of a wide range of technical engineering methods, principles, requirements, work techniques, and practices to assist in developing project scope reports use to program, fund, and plan future projects. Proven expertise in applying standardized, analytical, and evaluative methods and techniques to help overcome project scoping assessment execution challenges.
…
see more"
Mike (Sputnik) Morgan,"Mike has over 22 years of experience in the areas of leadership, management, human resources, strategic and operational planning, innovation, engineering management and communications. He is also a demonstrated USAF, operational test, all-domain integration, and fighter aircraft expert.

Mike is a Booz Allen Senior Associate responsible for the Las Vegas, NV geography that includes Nellis AFB, Creech AFB and the Nevada Test and Training Range. He also liaises on behalf of multiple Booz Allen business accounts across commercial and government portfolios. He is passionate about integrating strategy, digital, cyber, technology, analytics, and transformation with his active duty colleagues across the globe.

As a recognized expert in defense integration, Mike is a Booz Allen leader supporting centerline strategy adoption across the range of its Aerospace portfolio. Mike holds an MBA from Trident University, a Master of Science in Strategic Intelligence from the Defense Intelligence University, and Bachelor of Arts in History from the University of Texas in Austin. Additionally, he is a Project Management Professional (PMP) and graduate of the US Air Force’s prestigious Weapons School (Top Gun). A former Air Force rated officer with over 2000 hours in the F-15E, he also served in leadership positions at multiple levels.","I support Booz Allen's business objectives with the Department of Defense in Las Vegas, Nevada. Our team of experts, across a wide portfolio of services (Cyber, Analytics, Digital Solutions, Engineering, Consulting), are driving client success as trusted mission partners. Booz Allen Hamilton empowers people to change the world!"
Logan Smith,"Experienced Project Manager skilled in Operational Planning, Program Management, Contract Management, Quality",Facilities planning in support of US Space Command and US Space Force
Jason Shibata,"Leader, program manager, and systems engineer delivering complex, high-technology systems. Builds and grows teams",Senior Lead Engineer
"Steven Martin, PMP","Resolve issues for customers, internal and external stakeholders, and executive leaders when:
1. Highly integrated cutting-edge technology is not performing as advertised, 2. Complex interpersonal relationships create strife and dysfunction 3. Communications issues cause inefficiencies at multiple critical nodes.
Employs an arsenal of persuasive, inclusive, goal oriented, and value conscious skills to turn around negative trends, and get positive results on challenging time-critical programs.
− Builds and mentors high-performing, cohesive integrated process teams
− Aligns business results to company strategies
− Boasts a portfolio of multiple time sensitive cutting edge military aviation programs
− Advocates lean, six sigma, & theory of constraints continuous process improvement methodologies
− Aviation Maintenance Officer 20 years (retired)
I have been exposed to leadership opportunities from as few as 10 to as many as 1,300+ highly skilled technicians performing touch labor and advanced troubleshooting on numerous complex weapon systems.","Serves as acquisition program manager and subject matter expert in the B-52 system program office.

Analyzes, assesses and coordinates acquisition program documentation, including Acquisition Strategy, Acquisition Program Baseline, Acquisition Decision Memorandums; participates with integrated product teams to provide acquisition expertise regarding all statutory, regulatory and policy updates impacting acquisition documentation requirements. Builds and maintains relationships with external stakeholders including Resource Sponsor, Requirements Officer, Operational Test Authority to ensure successful program execution and obtains concurrence on acquisition way-ahead.
…
see more"
Don Kaynor,EMPTY,"Title
Commercial Assessments Coordinator
Dates Employed
Jan 2020 – Present
Employment Duration
11 mos
Location
Springfield, Virginia, United States
Title
Experimental Research Demonstration Team Le
Dates Employed
Jan 2019 – Feb 2020
Employment Duration
1 yr 2 mos
Location
Springfield, Virginia, United States
Title
Senior Integration Officer
Dates Employed
Jul 2015 – Jan 2019
Employment Duration
3 yrs 7 mos
Location
Springfield, Virginia"
Stephen Brune,"Space Operations and Project/Program Manager with over 18 years of National Security Space (NSS) Experience. Proven expertise in Space Situational Awareness in leading and working in teams of Intelligence Community and Space Systems engineers in developing Space Protection Concepts, Capabilities and Techniques to protect U.S. National Security Space. TS/SCI clearance (SSBI), 23 Feb, 2013","Title
Lead Associate
Dates Employed
Aug 2018 – Present
Employment Duration
2 yrs 4 mos
Location
Colorado Springs, Colorado
Title
Space Situational Awareness (SSA) Mid-Level Analyst
Dates Employed
Mar 2015 – Aug 2018
Employment Duration
3 yrs 6 mos
Location
Colorado Springs, Colorado Area"
Claire Brown,"I am a highly motivated and disciplined person. My passions lie with GIS/Remote Sensing, International Relations, and Aviation, but I enjoy continuing to learn new processes, techniques, and programs to better myself and those around me. I have vast experiences with leading teams to achieve goals/objectives while also honing my verbal and written skills to be clear, concise, and simplify complex ideas. I am proud of my ability to adapt and have a positive impact on the environment around me.","- Supports Strategic Basing Decisions
- Analyzes Capacities and Capabilities of the Installation in regards to Airfields, Facilities, Ranges, and Base Operating Support
- Assist with bed-downs and site surveys
- Identify new construction opportunities based on constraints
-Define requirements, select approaches, and leverage analytical platforms for analysis"
Bradley Fishel,EMPTY,"Executive position serving in Aerospace contracts as Senior Contracts Manager within the firm's Global Defense Group. Develops strategic vision for the contracting function and grows capabilities and offerings to meet business objectives, balancing comprehension of firm objectives with current and emerging client requirements and external trends. Develops and broadens relationships with Government and Industry Contracting Professionals in the community and acts as the executive lead of a high energy, dynamic contracts team."
Robert Smith,"I am a leader who is driven to exceed expectations and performance goals. I have a 25 years of public service to include 10 years in the military as an officer. My experience includes managing network operations, cyber security operations, automation services, crisis management, preparing high level briefs, training peers and associates in current and future operations. I have a demonstrated ability to work independently and as part of a team with minimal supervision.

Experienced in routing/switching, Cisco ISO, Active Directory, Exchange, SharePoint, Microsoft Office Suite, Wireshark, VMware, Access Data FTK, FTK Imager, and other forensic tools. Also familiar with Kali Linux, vulnerability testing, and other security applications. I currently hold an active TS/SCI security clearance.","Title
Program Management Office Analyst
Full-time
Dates Employed
May 2020 – Present
Employment Duration
7 mos
Location
Rome, New York, United States
Provide daily updates to Program Management staff regarding teleworking requirements, update mandatory government trackers for teleworking personnel, compile, edit, and update weekly trackers from thirteen programs and submit final reports to Government clients for final approval
Title
Information System Security Engineer
Dates Employed
Dec 2018 – May 2020
Employment Duration
1 yr 6 mos
Location
Rome, New York
Cybersecurity Analyst with the Air Force Research Laboratory (AFRL) Integration Test & Evaluation Center (ITEC) working as the Agent of the Security Control Assessor (ASCA) supporting Air Force Space Command (AFSPC A6).

Network Engineer within the Special Security Office within the Air Force Research Laboratory directly responsible for day to day operations of the Air Force JWICS (top secret) network supporting over 400 customers. Install, configure and maintain infrastructure, keep network up-to-date and secure, write and maintain network security polices, troubleshoot various network issues affecting solutions and collaborate with staff and outside vendors to resolve complex problems. Day to day operations include working with TCP/IP protocols, Windows and Cisco operating systems, LAN and WAN, and project management.
…
see more"
"Shelby McAnulty, PMP","I am a seasoned professional, who has worn many hats in my 10 year IT career--Help Desk Tech, System Administrator, Quality Assurance Evaluator, Cyber Analyst, and now Project Manager.

As a result, this experience has lent me the unique ability to manage multi-disciplinary IT projects, while successfully navigating complex challenges that may arise.

My ability to speak fluent geek and difficult stakeholder doesn't hurt either.

I genuinely enjoy being a Project Manager, even when I'm putting out my 10th fire of the day. Taking time to get to know everyone involved in projects I manage, has been a key factor in my success.

Outside of the office, you can usually find me chasing after my 2 year-old. Mostly making sure she's not trying to eat the dog's food (again). I strive to enjoy the little things in life with my family & friends, it is true they turn out to be the big things.",EMPTY
Harrison McWilliams,"Values trust and communication in order to create a cohesive, responsive culture. Managed multiple portfolios and has worked across numerous integrated teams to forge mission success. Consistent producer and leader - experience with C-Suite equivalents on daily basis.

Strategic planning and implementation
Programming and budget execution
Contractual analysis and negotiations
Project management
Audits and compliance
Earned value",Managed the Offensive Cyber and Cyber Mission Forces portfolios for Air Force Space Command (AFSPC) clients in the Colorado market. Currently controls Offensive/Defensive Space EW portfolios for USSF clients. Consults in resource-centric methodologies and analytics.
Gregory Scrivner,Experienced Senior Leader with a demonstrated history of working in the military industry. Skilled in Intelligence,Associate
Ed Dixon,"Specialties: Military History, Fixed Wing Military Aviation Training, Military Personnel, Project Management Professional",Sr Defense Analyst
Chris Taylor,"High energy, aggressive, technical manager and engineer. Over 20 years of successful engineering, development, testing, production and manufacturing efforts with emphasis in aerospace and chemical applications in both government and private industry. Common sense, cost-conscious, objective driven leader and flexible team player with an eye for innovation and a passion for improvement","PM and system architect for immersive Advanced Training and Tactics for Combat Kills (iATTACK) system. Managed customer directed contract transition following Initial Operational Capability (IOC) declaration. Provide over 500 hours annually of live, virtual, and constructive (LVC) close air support (CAS) blended training to U.S. Army, U.S. Air Force, and joint and coalition partners at Combat Training Centers (CTCs). Lead and execute monthly training at CTCs involving over 5000 personnel. Evolve training approach and training systems per changing tactics, techniques procedures (TTP). Execute information assurance (IA) and Cyber processes to achieve and maintain Authority to Operate (ATO) in U.S Air Force and U.S. Army enclaves."
"Andrew Lee, PMP","Senior consultant and former Army Logistics Officer with 5+ years of experience managing projects, logistics operations, emergency mobilization, client engagement, and leading teams of 32-215 professionals. Goal oriented and able to communicate effectively with military and non-military entities to achieve results. Experienced at managing complex operations involving constant coordination with multi-echelon organizations.",Senior Consultant
Serena (Fil) Stewart,"Intelligence - Joint Targeting - Targeteer - Educator/Trainer

Combat Targeting - Cyberspace Targeting - Weaponeering - BDA Training - ISR operations -Planner Policy Development and Implementation - Program Development and Management - Budget Management - Foreign Disclosure -Instructor Course Development - Team Building - Mentorship

Motivated professional with more than 21-years experience in joint operations and combat targets. In-depth knowledge of Air Force programs, ISR operations, All-source and Targeting intelligence. Strong interpersonal communication and presentation skills; proven ability to translate tactical information for operational users and leadership. History of developing and streamlining processes for production flow and information sharing. Earned reputation as Subject Matter Expert in joint targeting, Air Force targeting and education.",Consultant
Paige Collins,"I am a fun, enthusiastic leader and manager with 22 years of experience in leading up to 130 IT professionals and overseeing projects worth more than $210M.

I am especially skilled at and enjoy stakeholder management, relationship building, and operating in matrix environments. Change excites me -- I thrive when transforming organizations, working through challenges, maximizing our potential, and eliminating waste!

I excell in high-paced environments and love thinking ""big"" and delivering innovative technical solutions to our customers.

More than that, I am at my best when guiding and motivating teams to think outside-the-box and ask ""why"" when faced with real or percieved roadblocks.

I am passionate about diversity and inclusion and work to ensure everyone has a seat a the table and an appreciated voice.

Over the last two decades, I have become a masterful communicator, able to translate and align requirements, opportunities, and risks to all levels of stakeholders--from engineers to senior executives to clients. I am super flexible and adaptive--IT and I go hand-in-hand.

Expertise:
• Information Technology
• Project Management
• Operations Management
• Configuration Management
• Team Building
• Communication
• Flexibility
• Negotiating
• Change Management
• Problem Solving
• Organizational Transformation
• Continuous Process Improvement
• Risk Management
• Stakeholder Management
• Service Delivery
• Human Resources
• Diversity & Inclusion","Supports Information Assurance, Assessment, and Authorizations for DoD systems. Implements the Risk Management Framework, DoD Cybersecurity policies, directives, and STIGS. Leverages tools such as ACAS and eMASS."
Elmo Vance,"Greetings! I am a vigorous and highly proficient operations officer with expertise in both Air and Missile Defense design and operations management. I have a multitude of transferable skills, and I also have an affinity for information technology and desire to utilize them to benefit others within this growing career field.

Looking forward to connecting with you!

CCNA - CSCO12778141
CompTIA Security+ - COMP001020873476
CompTIA Linux - COMP001020873476
CompTIA Advanced Security Practitioner - COMP001020873476
EC- Council Certified Ethical Hacker -ECC51398724944","Serves as a systems administrator and maintains responsibility for the daily operations and maintenance of unclassified and classified IT systems in Big Data environments. Works as part of a dynamic team to keep systems maintained and optimized through daily, weekly, and monthly patching, upgrades, and tuning when system maintenance is required. Performs day-to-day operations and interface with internal and external clients to support system operations. Contributes to and maintains operations documentation, including configuration data, change requests, installation procedures, knowledge base articles, standard operating procedures (SOPs), engineering diagrams, and test plans analysis."
Shawn Mittal,"Bringing data driven decision making to the US National Defense Enterprise.

Website:
shawnmittal.com","Title
Data Science Technical Lead
Full-time
Dates Employed
Jul 2020 – Present
Employment Duration
5 mos
Location
Washington DC-Baltimore Area
Leading the data science team at DTRA-OI.
Title
Lead Data Scientist
Dates Employed
Jul 2018 – Jul 2020
Employment Duration
2 yrs 1 mo
Location
Washington D.C. Metro Area
Working with Department of Defense organizations to stand up data engineering and machine learning capabilities.

High level activities include:
- Developing and deploying data pipelines with Python, Node.js, AWS Lambda, SQS, DynamoDB, RDS, S3, and API Gateway.
- Developing and deploying ML solutions with Python, Tensorflow, and Keras.
- Consulting with clients on data governance (DMBOK v2) and DevSecOps pipeline development.
- Participating in client capture and proposal development.
- Serving as technical lead on quick turn ML software development projects.
- Managing/admin for a small team of data scientists.
…
see more"
Gino Vivalda,EMPTY,Associate
Howard Boles,"A United States Air Force veteran with over 35 years of professional experience in the areas of missile defense, missile","Title
Nuclear Operations Expert -NC3
Dates Employed
Oct 2017 – Present
Employment Duration
3 yrs 2 mos
Location
Albuquerque, New Mexico Area
Responsible for providing command, control, and communications expertise to the Air Force Nuclear Weapons Center (AFNWC) Advance Concepts Studies Division. Participate in analysis of Nuclear Deterrence Operations (NDO) enterprise requirements and gaps. Evaluate new research and technologies and participate in AFNWC studies aimed at providing recommendations for material and non-material NDO gap solutions. Prepare briefings, papers, and reports on NDO enterprise related subjects.
• Work with Air Force Global Strike Command, Air Force Research Laboratory (AFRL), Program Executive Officer-Fighter Bomber to support requirements generation for the NDO core function.
• Conduct mission needs analysis on identified gaps and create development need statements to solicit material solutions from AFRL and other National Laboratories.
• Work with AFNWC to prepare topics for submission to the Rapid Innovation Fund and Small Business Innovation Research process.
• Provide writing assistance into the development of MAJCOM Core Function Support Plans.
…
see more
Title
Missile Defense Analyst
Dates Employed
Apr 2013 – Oct 2017
Employment Duration
4 yrs 7 mos
Location
European Command Stuttgart Germany
Responsible for providing U.S. European Command (USEUCOM) leadership assessments and advice on the command’s missile defense (MD) issues.
• Assisted the Strategy and Plans Divisions in developing and updating the command’s Theater Campaign Plan (TCP), Operations Annex and first ever missile defense (MD) Appendix.
• Supported USEUCOM leadership with Ally and partner engagements by providing MD information papers and International-Simulator model scenarios.
• Conducted research of current European MD environment to develop USEUCOM’s first Integrated Air and Missile Defense (IAMD) Engagement Strategy and Vision pamphlet.
• Provided MD subject matter expertise in the development of Country Cooperation Plans (CCPs) creating logical MD links between National Military Strategy, the TCP and supporting CCPs.
• Conducted EUCOM J5MD Division Line of Activity reporting for 18 IAMD capable partners and allies.
• Assisted J5MD Space and Shared Early Warning branch with ally theater missile warning issues.
• Performed contractor Job Manager duties for five distinct lines of efforts in the USEUCOM J5 Directorate and mentored incoming junior personnel ensuring smooth transition to USEUCOM.
…
see more"
Steven Rickman,EMPTY,"Over twenty-seven years of practical experience in the field of electronics repair, engineering, installation, maintenance, overhaul, troubleshooting, modification, checkout, and testing of Air Traffic Control (ATC), Command and Control (C2), Satellite Communications (SATCOM) and cryptographic communications systems and equipment.. Experienced in engineering and providing subject matter expert (SME) support for transportable Radar Approach Control (RAPCONs), Transportable Transmitter Receiver Shelters (TTRS), Containerized Technical Control Facilities, Intrusion Detection Systems, Containerized Battlefield Airborne Communications Node (BACN), Containerized Airport Surveillance Radar (CASR), Satellite communications, Battlespace Command and Control Center-Theater (BC3-T), Air Traffic Control (ATC) Towers, Automated Weather Observation System (AWOS), Ground to Air Transmit Receive (GATR), Enhanced Terminal Voice Switch (ETVS), 721S Radios, CM200 Radios, Fiber Optic Communications Interface System (FOCIS), and Joint Radio Relay (JR2) systems. Additional experience in electrical and electronics systems installation design and in developing and using engineering drawings, schematics, and pictorial diagrams.
•Providing engineering support to transportable ATC system design, development, assembly, testing, training and deployment.
•Providing engineering support to NAS modernization and design efforts, and related legacy and new system design, development, assembly, and deployment.
•Providing engineering SME support for all USAFCENT and C2 commutations systems related delivery orders.
•Deploys and performs site surveys, installation, and integration in support of ATC systems and USAFCENT related delivery orders.
•Develops system technical orders, training guides, SOVT, PITCO, system requirement documents, operations requirements documents, Engineering design drawings, and ULSS packages.
•Develops pricing and proposals.
•ISO 9001-2008 QC Inspector.
…
see more"
Richard Bolton,"A highly-qualified professional with more than 30 years of Air Force logistics and supply chain management experience. He has extensive management experience in all facets of logistics operations, with concentrations in supply chain management, inventory control, fuels management, passenger and cargo movement, vehicle operations, deployment operations and aircraft maintenance. He has led numerous process improvement teams which have resulted in resource savings and organizational efficiencies. He has also routinely developed and briefed Air Force policy, procedures, and business rules to senior Air Force leaders. Mr. Bolton has had experience at Secretary of the Air Force, Headquarters Air Force, Major Command, Air Logistics Center, Joint Logistics, Combat zone Logistics and Base level. He was a fully qualified Logistics Readiness Officer, fully qualified Maintenance Officer and a fully qualified Joint Staff Officer with 4 years of Joint experience.",EMPTY
Alexander Howell,EMPTY,"Title
Associate
Full-time
Dates Employed
Jul 2020 – Present
Employment Duration
5 mos
Location
Suffolk, Virginia, United States
Title
Senior Consultant
Dates Employed
Oct 2018 – Jul 2020
Employment Duration
1 yr 10 mos
Location
Norfolk, Virginia Area"
Paul Shade,EMPTY,Sr. Enterprise Architect
Justin Goldman,EMPTY,"Title
Institutional Capacity Building Analyst
Dates Employed
Feb 2020 – Present
Employment Duration
10 mos
Location
Arlington, Virginia, United States
Analytical support to the Defense Security Cooperation Agency's Institute for Security Governance
Title
Security Cooperation Analyst
Dates Employed
Aug 2017 – Feb 2020
Employment Duration
2 yrs 7 mos
Location
Arlington County, Virginia, United States
Analytical support to Headquarters Marine Corps, Plans, Policies and Operations, Strategy and Plans Division"
Joshua Schirner,"I'm a supportive military spouse and have a diverse background as an Air Force officer, a banker and bookkeeper, a",Senior Consultant
"Jamie Williams, PMP",Experienced Lead Technologist with a demonstrated history of working in the IT industry. Strong engineering,"Title
Chief Technologist
Dates Employed
Dec 2019 – Present
Employment Duration
1 yr
Location
Montgomery, Alabama Area
Title
Sr Lead Technologist
Dates Employed
Jul 2014 – Dec 2019
Employment Duration
5 yrs 6 mos
Location
Montgomery, Alabama Area"
Michael Soucy,"Dedicated and reputable senior Intelligence, Surveillance & Reconnaissance (ISR) program manager, leader, trainer, and analyst with 25 years of experience in multiple domains. Certified instructor and manager of Cyber and Space Intelligence Training curriculum on behalf of United States Air Force client. Demonstrated adaptability in support of contingency operations, working collaboratively with inter-agency Department of Defense personnel in high-pressure situations under tight deadlines.

Highly decorated and recognized analyst with experience in 9 internationally designated assignments and austere environments. Demonstrated acumen leading and communicating to project teams and clients while maintaining project momentum. Proven success and experience in Blockchain integration strategies and emerging technology research.

Consulting Services | Project Management & Execution
Requirement Specifications | Cultivate & Maintain Relationships
Certified Space & Cyber ISR Instructor | Instructional Systems Design Procedures
Cyber Security Solutions | CompTIA Security+ Methodologies
Change Management | Communications & Team Building
Assign, Schedule, & Prioritize Deliverables | Problem Identification & Resolution","Title
Associate - Space and Cyber Intelligence Analyst
Dates Employed
Jan 2016 – Present
Employment Duration
4 yrs 11 mos
Location
Colorado Springs, CO
Technical lead and facilitator of comprehensive Distributed Ledger Technology integration feasibility study for client. Provide Blockchain technology solutions to pressing cyber challenges facing the United States Department of Defense (DoD.)

Authored comprehensive independent assessment of SECAF-mandated Intelligence, Surveillance & Reconnaissance (ISR) task execution and alignment within the Air Force Space Command/A2/3/6 Directorate. Provide strategic reviews for optimized alignment of the AFPSC ISR Enterprise while maintaining compliance with AF-level instructions and AFSPC Commanders Intent.
Title
Senior Consultant - Cyber and Space Intelligence Training
Dates Employed
Mar 2015 – Dec 2016
Employment Duration
1 yr 10 mos
Location
Colorado Springs, Colorado Area
Certified as SharePoint Administrator and created the first useable site for the new team in support of AFSPC/A2/3/6/YI Intelligence, Surveillance & Reconnaissance (ISR) Integration and Unit Support team. Directly supported the reconstitution of the legacy AFSPC/A2 Unit Support team.

• Instructed 440 hours of Cyberspace Intelligence Initial Qualification Training (IQT) to USAF personnel
• Modernized and maintained curricula, keeping pace with cyber threats to DoD, industry, and academia
• Identified and imparted critical cyber intelligence analysis issue resolution techniques to 530 students
…
see more"
